Name,CodeName,Type,TypeName,Etat,SubEtat,DES,ETA,Worlds,Engines,OffsetBX,OffsetBY,OffsetHY,FollowSprite,HitPoints,HitSprite,FollowEnabled,ConnectedEvents,LabelOffsets,Commands
Flat Stone (Cut Rope),always,222,TYPE_CORDEBAS,2,3,PIS,BST,3,R1-KIT-EDU,128,128,128,0,0,0,False,MS_ubi_corde,,2-254-33-255
Mr Dark (Mr Skops/Mr Stone),MS_hyb_stosko,223,TYPE_HYBRIDE_STOSKO,1,0,HYB,HYB1,6,R1,128,200,64,0,8,254,False,,,30-200-33-255
Mr Dark (Mr Skops/Mr Stone Claw),always,224,TYPE_STOSKO_PINCE,0,9,HYB,HYB1,6,R1,192,128,170,0,1,254,False,MS_hyb_stosko,,20-12-128-0-20-2-144-0-20-2-160-0-20-2-176-0-20-2-192-0-20-2-208-0-20-2-224-0-20-2-240-0-20-1-16-0-20-1-32-0-20-1-48-0-20-1-64-0-20-1-80-0-20-1-96-0-20-1-112-0-20-30-127-0-33-255
Space Pirate (Bomber Left 1),MS_Gpirate_poelle_45,225,TYPE_PIRATE_P_45,0,1,SPA,SPA,4,R1-KIT-EDU,80,96,0,0,2,255,False,,,30-200-33-255
Space Pirate (Earring Left 1),MS_Npirate_poelle_45,225,TYPE_PIRATE_P_45,0,16,SPA,SPA,4,R1-KIT-EDU,80,96,0,0,2,255,False,,,30-200-33-255
Space Pirate (Bomber Right 2),MS_Gpirate_poelle_d_45,226,TYPE_PIRATE_P_D_45,0,1,SPA,SPA,4,R1-KIT-EDU,80,96,0,0,2,255,False,,,1-1-30-200-33-255
Space Pirate (Earring Right 2),MS_Npirate_poelle_d_45,226,TYPE_PIRATE_P_D_45,0,16,SPA,SPA,4,R1-KIT-EDU,80,96,0,0,2,255,False,,,1-1-30-200-33-255
Moskito (Boss),MS_mst2,227,TYPE_MOSKITO2,0,13,MST2,MST,1,R1-KIT-EDU,80,80,48,0,12,254,False,,1-7,11-1-19-1-23-0-11-2-30-200-24-1-33-255
Electric Plug,MS_pri,228,TYPE_PRI,0,0,PRI,PRI,5,R1,80,80,48,0,1,254,False,,1-11-11,11-0-8-0-5-0-19-1-24-0-11-1-8-0-5-2-19-1-24-1-11-2-8-0-5-1-19-5-24-2-33-255
Pin (Up),MS_ubi_pun2,229,TYPE_PUNAISE2,0,8,IPL,IPL,4,R1-KIT-EDU,90,96,48,0,0,254,False,,,30-250-33-255
Pin (Left),MS_ubi_pun3,230,TYPE_PUNAISE3,0,9,IPL,IPL,4,R1-KIT-EDU,90,96,96,0,0,254,False,,,30-250-33-255
Pin (Right),MS_ubi_pun4,230,TYPE_PUNAISE3,0,9,IPL,IPL,4,R1-KIT-EDU,90,96,96,0,1,254,False,,,30-250-33-255
Mr Dark (Viking Mama/Moskito Right),MS_hyp_bbf2_d,231,TYPE_HYB_BBF2_D,0,0,HYB,HYB2,6,R1,116,160,112,0,8,254,False,,,2-254-33-255
Mr Dark (Viking Mama/Moskito Left),MS_hyp_bbf2_g,232,TYPE_HYB_BBF2_G,0,0,HYB,HYB2,6,R1,116,160,112,0,8,254,False,,,2-254-33-255
Mr Dark (Viking Mama/Moskito Space laser),always,233,TYPE_HYB_BBF2_LAS,0,8,HYB,HYB2,6,R1,116,152,136,0,0,254,False,MS_hyp_bbf2_g-MS_hyp_bbf2_d,,30-200-33-255
Lava,MS_ubi_lave,234,TYPE_LAVE,0,0,LAV,LAV,5,R1-KIT,50,80,0,0,255,254,False,,,2-254-33-255
Pin scenery (1),MS_pun4,235,TYPE_PUNAISE4,0,0,PUN,PUN,4,R1-KIT-EDU,80,80,48,0,1,0,False,,,8-0-5-0-19-1-33-255
Pin scenery (2),MS_pun5,235,TYPE_PUNAISE4,0,0,PUN,PUN,4,R1-KIT-EDU,80,80,48,0,7,0,False,,,8-0-5-0-19-1-33-255
Pin scenery (3),MS_pun6,235,TYPE_PUNAISE4,0,0,PUN,PUN,4,R1-KIT-EDU,80,80,48,0,11,0,False,,,8-0-5-0-19-1-33-255
Pin scenery (4),MS_pun7,235,TYPE_PUNAISE4,0,0,PUN,PUN,4,R1-KIT-EDU,80,80,48,0,17,0,False,,,8-0-5-0-19-1-33-255
Pin scenery (5),MS_pun8,235,TYPE_PUNAISE4,0,0,PUN,PUN,4,R1-KIT-EDU,80,80,48,0,22,0,False,,,8-0-5-0-19-1-33-255
Pin scenery (6),MS_pun9,235,TYPE_PUNAISE4,0,0,PUN,PUN,4,R1-KIT-EDU,80,80,48,0,27,0,False,,,8-0-5-0-19-1-33-255
Pin scenery (7),MS_pun10,235,TYPE_PUNAISE4,0,0,PUN,PUN,4,R1-KIT-EDU,80,80,48,0,32,0,False,,,8-0-5-0-19-1-33-255
Pin scenery (8),MS_pun11,235,TYPE_PUNAISE4,0,0,PUN,PUN,4,R1-KIT-EDU,80,80,48,0,37,0,False,,,8-0-5-0-19-1-33-255
Pin scenery (9),MS_pun12,235,TYPE_PUNAISE4,0,0,PUN,PUN,4,R1-KIT-EDU,80,80,48,0,42,0,False,,,8-0-5-0-19-1-33-255
Pin scenery (10),MS_pun13,235,TYPE_PUNAISE4,0,0,PUN,PUN,4,R1-KIT-EDU,80,80,48,0,47,0,False,,,8-0-5-0-19-1-33-255
Curse Cleaner,MS_annule_sorts_dark_,236,TYPE_ANNULE_SORT_DARK,5,54,PNG,PNG,1-2-3-4-5-6,KIT-EDU,80,136,88,0,0,254,False,,,2-254-33-255
Curse Cleaner,MS_annule_sorts_dark_,236,TYPE_ANNULE_SORT_DARK,5,58,PNG,PNG,1-2-3-4-5-6,R1,80,136,88,0,0,254,False,,,2-254-33-255
Bouncy Rubber,MS_gom,237,TYPE_GOMME,0,0,GOM,GOM,4,R1-KIT-EDU,72,47,10,0,0,254,True,,1-1,11-0-8-0-5-0-19-1-24-0-11-1-8-0-5-1-19-1-24-1-33-255
Betilla (Fist right and displaying text),always,238,TYPE_POING_FEE,5,12,PNG,PNG,1-2-3-4-5-6,R1,64,48,32,0,0,0,False,MS_ubi_fee,,2-254-33-255
Pencil (Up),MS_ipl_pial,240,TYPE_CRAYON_HAUT,0,1,IPL,IPL,4,R1-KIT-EDU,78,127,32,0,1,254,False,,,30-250-33-255
Pencil (Up Moving Alone),MS_ubi_herse_haut,241,TYPE_HERSE_HAUT,0,3,IPL,IPL,4,R1-KIT-EDU,78,127,32,0,1,254,False,,,30-200-33-255
Pencil (Up First of a wave),MS_ubi_herse_haut2,241,TYPE_HERSE_HAUT,0,3,IPL,IPL,4,R1-KIT-EDU,78,127,32,0,3,254,False,,,30-200-33-255
Pencil (Up Part of a wave),MS_herse_haut_next,242,TYPE_HERSE_HAUT_NEXT,0,3,IPL,IPL,4,R1-KIT-EDU,78,127,32,0,1,254,False,,,30-200-33-255
Bouncy Pen,MS_styl23,243,TYPE_MARK_AUTOJUMP_PLAT,0,23,IPL,IPL,4,R1-KIT-EDU,88,144,16,2,1,254,True,,,2-254-33-255
Space laser (Second),always,244,TYPE_SMA_PETIT_LASER,1,4,SMA2,SMA2,4,R1,32,32,18,0,0,254,False,MS_sma2,,
Joe's Beach sand,MS_dune,245,TYPE_DUNE,0,0,DUN,DUN,5,R1-KIT-EDU,80,32,0,0,0,0,False,,,30-254-33-255
Mr Dark (Separate Rope),MS_dark_corde,246,TYPE_CORDE_DARK,0,25,VIR,VIR,6,R1-KIT-EDU,92,204,0,0,0,0,False,,,2-254-33-255
Mr Skops (Claw),always,248,TYPE_SKO_PINCE,3,1,SKO,SKO,5,R1,192,128,170,0,1,254,False,MS_skops,,2-254-33-255
Theatre (Back Curtain),MS_rideau_arriere,249,TYPE_RIDEAU,0,1,RID,RID,4,R1,0,0,0,0,0,0,False,,1,30-200-20-16-0-240-20-16-0-244-20-16-0-248-20-16-0-252-20-16-0-254-23-0-33-255
Theatre (Top Curtain),MS_rideau_haut,249,TYPE_RIDEAU,0,2,RID,RID,4,R1,0,0,0,0,0,0,False,,1,30-180-20-16-0-240-20-16-0-244-20-16-0-248-20-16-0-252-20-16-0-254-23-0-33-255
Pin (Up and Down),MS_ubi_pun5,250,TYPE_PUNAISE5,0,15,IPL,IPL,4,R1-KIT-EDU,90,48,8,0,0,254,False,,,30-250-33-255
Theatre Water (1),MS_vague_devant,251,TYPE_VAGUE_DEVANT,0,3,SMA,RID,4,R1,160,0,0,0,0,0,False,,,30-200-33-255
Theatre Water (2),MS_vague_derriere,252,TYPE_VAGUE_DERRIERE,0,4,SMA,RID,4,R1,160,0,0,0,0,0,False,,,30-200-33-255
Breakout Plum,MS_cb_brik,256,TYPE_CB_BRIK,0,5,CBB,CBB,1,R1,64,64,0,0,255,0,False,,,2-254-33-255
Breakout,MS_cb_ball,257,TYPE_CB_BALL,0,0,CBB,CBB,1,R1,64,64,0,0,255,0,False,,,2-254-33-255
Candy Platform,MS_pla_bon,258,TYPE_BONBON_PLAT,0,0,PLA,PLA,6,R1-KIT-EDU,110,147,0,0,0,0,True,,,30-200-33-255
Nougat Platform,MS_pla_noug,258,TYPE_BONBON_PLAT,0,5,PLA,PLA,6,R1-KIT-EDU,0,0,4,0,0,0,True,,,30-200-33-255
Letter A (Blue),MS_edul_A,259,TYPE_EDU_LETTRE,0,0,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter A (Red),,259,TYPE_EDU_LETTRE,0,0,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter A (Brown),,259,TYPE_EDU_LETTRE,0,0,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter A (Gold),,259,TYPE_EDU_LETTRE,0,0,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter A (Gray),,259,TYPE_EDU_LETTRE,0,0,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter A (Green),,259,TYPE_EDU_LETTRE,0,0,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter B (Blue),MS_edul_B,259,TYPE_EDU_LETTRE,0,1,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter B (Red),,259,TYPE_EDU_LETTRE,0,1,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter B (Brown),,259,TYPE_EDU_LETTRE,0,1,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter B (Gold),,259,TYPE_EDU_LETTRE,0,1,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter B (Gray),,259,TYPE_EDU_LETTRE,0,1,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter B (Green),,259,TYPE_EDU_LETTRE,0,1,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter C (Blue),MS_edul_C,259,TYPE_EDU_LETTRE,0,2,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter C (Red),,259,TYPE_EDU_LETTRE,0,2,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter C (Brown),,259,TYPE_EDU_LETTRE,0,2,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter C (Gold),,259,TYPE_EDU_LETTRE,0,2,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter C (Gray),,259,TYPE_EDU_LETTRE,0,2,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter C (Green),,259,TYPE_EDU_LETTRE,0,2,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter D (Blue),MS_edul_D,259,TYPE_EDU_LETTRE,0,3,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter D (Red),,259,TYPE_EDU_LETTRE,0,3,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter D (Brown),,259,TYPE_EDU_LETTRE,0,3,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter D (Gold),,259,TYPE_EDU_LETTRE,0,3,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter D (Gray),,259,TYPE_EDU_LETTRE,0,3,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter D (Green),,259,TYPE_EDU_LETTRE,0,3,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter E (Blue),MS_edul_E,259,TYPE_EDU_LETTRE,0,4,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter E (Red),,259,TYPE_EDU_LETTRE,0,4,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter E (Brown),,259,TYPE_EDU_LETTRE,0,4,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter E (Gold),,259,TYPE_EDU_LETTRE,0,4,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter E (Gray),,259,TYPE_EDU_LETTRE,0,4,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter E (Green),,259,TYPE_EDU_LETTRE,0,4,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter F (Blue),MS_edul_F,259,TYPE_EDU_LETTRE,0,5,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter F (Red),,259,TYPE_EDU_LETTRE,0,5,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter F (Brown),,259,TYPE_EDU_LETTRE,0,5,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter F (Gold),,259,TYPE_EDU_LETTRE,0,5,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter F (Gray),,259,TYPE_EDU_LETTRE,0,5,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter F (Green),,259,TYPE_EDU_LETTRE,0,5,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter G (Blue),MS_edul_G,259,TYPE_EDU_LETTRE,0,6,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter G (Red),,259,TYPE_EDU_LETTRE,0,6,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter G (Brown),,259,TYPE_EDU_LETTRE,0,6,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter G (Gold),,259,TYPE_EDU_LETTRE,0,6,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter G (Gray),,259,TYPE_EDU_LETTRE,0,6,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter G (Green),,259,TYPE_EDU_LETTRE,0,6,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter H (Blue),MS_edul_H,259,TYPE_EDU_LETTRE,0,7,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter H (Red),,259,TYPE_EDU_LETTRE,0,7,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter H (Brown),,259,TYPE_EDU_LETTRE,0,7,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter H (Gold),,259,TYPE_EDU_LETTRE,0,7,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter H (Gray),,259,TYPE_EDU_LETTRE,0,7,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter H (Green),,259,TYPE_EDU_LETTRE,0,7,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter I (Blue),MS_edul_I,259,TYPE_EDU_LETTRE,0,8,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter I (Red),,259,TYPE_EDU_LETTRE,0,8,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter I (Brown),,259,TYPE_EDU_LETTRE,0,8,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter I (Gold),,259,TYPE_EDU_LETTRE,0,8,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter I (Gray),,259,TYPE_EDU_LETTRE,0,8,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter I (Green),,259,TYPE_EDU_LETTRE,0,8,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter J (Blue),MS_edul_J,259,TYPE_EDU_LETTRE,0,9,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter J (Red),,259,TYPE_EDU_LETTRE,0,9,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter J (Brown),,259,TYPE_EDU_LETTRE,0,9,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter J (Gold),,259,TYPE_EDU_LETTRE,0,9,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter J (Gray),,259,TYPE_EDU_LETTRE,0,9,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter J (Green),,259,TYPE_EDU_LETTRE,0,9,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter K (Blue),MS_edul_K,259,TYPE_EDU_LETTRE,0,10,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter K (Red),,259,TYPE_EDU_LETTRE,0,10,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter K (Brown),,259,TYPE_EDU_LETTRE,0,10,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter K (Gold),,259,TYPE_EDU_LETTRE,0,10,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter K (Gray),,259,TYPE_EDU_LETTRE,0,10,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter K (Green),,259,TYPE_EDU_LETTRE,0,10,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter L (Blue),MS_edul_L,259,TYPE_EDU_LETTRE,0,11,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter L (Red),,259,TYPE_EDU_LETTRE,0,11,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter L (Brown),,259,TYPE_EDU_LETTRE,0,11,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter L (Gold),,259,TYPE_EDU_LETTRE,0,11,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter L (Gray),,259,TYPE_EDU_LETTRE,0,11,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter L (Green),,259,TYPE_EDU_LETTRE,0,11,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter M (Blue),MS_edul_M,259,TYPE_EDU_LETTRE,0,12,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter M (Red),,259,TYPE_EDU_LETTRE,0,12,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter M (Brown),,259,TYPE_EDU_LETTRE,0,12,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter M (Gold),,259,TYPE_EDU_LETTRE,0,12,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter M (Gray),,259,TYPE_EDU_LETTRE,0,12,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter M (Green),,259,TYPE_EDU_LETTRE,0,12,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter N (Blue),MS_edul_N,259,TYPE_EDU_LETTRE,0,13,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter N (Red),,259,TYPE_EDU_LETTRE,0,13,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter N (Brown),,259,TYPE_EDU_LETTRE,0,13,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter N (Gold),,259,TYPE_EDU_LETTRE,0,13,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter N (Gray),,259,TYPE_EDU_LETTRE,0,13,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter N (Green),,259,TYPE_EDU_LETTRE,0,13,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter O (Blue),MS_edul_O,259,TYPE_EDU_LETTRE,0,14,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter O (Red),,259,TYPE_EDU_LETTRE,0,14,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter O (Brown),,259,TYPE_EDU_LETTRE,0,14,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter O (Gold),,259,TYPE_EDU_LETTRE,0,14,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter O (Gray),,259,TYPE_EDU_LETTRE,0,14,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter O (Green),,259,TYPE_EDU_LETTRE,0,14,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter P (Blue),MS_edul_P,259,TYPE_EDU_LETTRE,0,15,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter P (Red),,259,TYPE_EDU_LETTRE,0,15,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter P (Brown),,259,TYPE_EDU_LETTRE,0,15,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter P (Gold),,259,TYPE_EDU_LETTRE,0,15,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter P (Gray),,259,TYPE_EDU_LETTRE,0,15,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter P (Green),,259,TYPE_EDU_LETTRE,0,15,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter Q (Blue),MS_edul_Q,259,TYPE_EDU_LETTRE,0,16,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter Q (Red),,259,TYPE_EDU_LETTRE,0,16,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter Q (Brown),,259,TYPE_EDU_LETTRE,0,16,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter Q (Gold),,259,TYPE_EDU_LETTRE,0,16,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter Q (Gray),,259,TYPE_EDU_LETTRE,0,16,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter Q (Green),,259,TYPE_EDU_LETTRE,0,16,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter R (Blue),MS_edul_R,259,TYPE_EDU_LETTRE,0,17,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter R (Red),,259,TYPE_EDU_LETTRE,0,17,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter R (Brown),,259,TYPE_EDU_LETTRE,0,17,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
Letter R (Gold),,259,TYPE_EDU_LETTRE,0,17,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,3,0,False,,,2-254-33-255
Letter R (Gray),,259,TYPE_EDU_LETTRE,0,17,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,4,0,False,,,2-254-33-255
Letter R (Green),,259,TYPE_EDU_LETTRE,0,17,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,5,0,False,,,2-254-33-255
Letter S (Blue),MS_edul_S,259,TYPE_EDU_LETTRE,0,18,LETTRES,LETTRES,1-2-3-4-5-6,KIT-EDU,64,80,0,0,0,0,False,,,2-254-33-255
Letter S (Red),,259,TYPE_EDU_LETTRE,0,18,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,1,0,False,,,2-254-33-255
Letter S (Brown),,259,TYPE_EDU_LETTRE,0,18,LETTRES,LETTRES,1-2-3-4-5-6,EDU,64,80,0,0,2,0,False,,,2-254-33-255
